Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
786550,361357.2,10209,840,573.78613,0.017229954,331.66394,15.656473,62.718338,0.19004022,546.73438,646.90112,12275.107,297868.69
786551,361357.2,10209.6,570,291.30872,0.038828205,329.2482,6.4360523,60.710934,0.18641441,233.77437,307.04922,6447.8389,123244.2
786552,361357.2,10210.2,594,462.92068,0.018839464,328.75665,15.800067,52.081348,0.18931961,473.80188,555.67896,7819.8315,175895.64
786553,361357.2,10210.8,225,145.11893,0.13291574,248.58203,5.8891249,22.134375,0.17190367,67.525284,117.13286,1606.7931,17010
786554,361357.2,10211.4,217,140.54866,0.29632938,248.7261,6.2789359,22.727734,0.15565707,28.745932,77.202423,1542.6564,16744.32
786555,361357.2,10212,208,137.71565,0.29305458,249.49054,6.6946435,23.321432,0.13941047,29.111752,76.846184,1444.485,15503.04
786556,361357.2,10212.6,203,135.78365,0.29085773,250.49542,7.1573215,23.915447,0.12316387,29.132095,76.592873,1402.9922,14923.08
786557,361357.2,10213.2,200,134.37013,0.28914043,251.567,7.6537952,24.509752,0.10691728,29.201157,76.419098,1416.8069,15568.92
786558,361357.2,10213.8,198,133.29631,0.33233434,252.62445,8.1809092,25.104328,0.090670675,24.036381,70.994774,1447.8265,16377.48
786559,361357.2,10214.4,196,132.51717,0.33355522,253.68398,8.745759,25.699158,0.074424081,24.043327,70.65731,1496.3546,17439.84
786560,361357.2,10215,194,131.71666,0.33391631,254.67033,9.3320751,26.294222,0.058177479,24.219362,70.405479,1535.0751,18175.68
786561,361357.2,10215.6,375,309.98495,0.027924009,307.07535,16.227322,56.364628,0.31686577,300.82974,373.49634,4080.8979,96629.758
786563,361357.2,10216.8,58,41.347996,0.20600961,23.165131,3.7777932,13.45616,0.0033935474,24.301849,50.221355,340.96271,2702.8799
786564,361357.2,10217.4,337,254.43523,0.016502615,312.65604,20.477608,57.877655,0.60324222,385.95486,440.16666,4748.6392,125509.32
786565,361357.2,10218,491,318.32504,0.01572006,307.33005,18.869152,56.445702,0.414552,439.78134,504.44434,6980.1426,144418.31
852054,361357.8,10189.8,266,104.59511,0.14826989,77.531273,17.677465,31.369583,0.20916052,72.158836,94.152992,4557.3306,95200.922
852055,361357.8,10190.4,265,103.70248,0.10469848,74.87149,16.556299,30.795427,0.42874062,84.641563,111.56535,4296.9165,85435.562
852056,361357.8,10191,178,71.166374,0.052082773,66.992874,14.075034,31.437416,0.14002533,110.88808,131.03741,2451.769,40782.961
852059,361357.8,10192.8,876,498.94678,0.0410548,51.326557,14.144418,59.109943,0.22682893,312.47717,390.79596,14627.36,317803.31
852062,361357.8,10194.6,860,506.68588,0.023466837,49.558517,12.156706,52.948902,1.7323172,436.41837,520.89124,12736.738,253157.77
852063,361357.8,10195.2,873,540.97919,0.025479477,39.813694,12.980333,64.327179,2.311394,430.37854,516.53522,13216.316,289236.59
852064,361357.8,10195.8,898,596.79523,0.020980371,29.831217,14.662447,64.182358,2.8904707,509.20331,597.87585,13835.286,320713.19
852067,361357.8,10197.6,1009,589.65906,0.02858267,24.118099,11.997275,55.989281,4.2430468,411.6152,509.1597,16440.957,417738.25
852068,361357.8,10198.2,995,585.41394,0.030236609,23.574356,11.493446,56.000679,4.2648549,397.28775,493.2532,15278.508,366588.72
852069,361357.8,10198.8,927,570.85645,0.034735721,27.983828,10.405043,41.314789,4.2866626,357.03848,454.44385,11791.277,210591
852070,361357.8,10199.4,946,573.01233,0.030797727,27.927454,10.078794,41.50737,4.3084707,383.65567,483.53464,11902.484,209586.23
